"truck_events_text_partition.driverid","truck_events_text_partition.truckid","truck_events_text_partition.eventtime","truck_events_text_partition.eventtype","truck_events_text_partition.longitude","truck_events_text_partition.latitude","truck_events_text_partition.eventkey","truck_events_text_partition.correlationid","truck_events_text_partition.drivername","truck_events_text_partition.routeid","truck_events_text_partition.routename","truck_events_text_partition.date"
"18","91","2014-10-18 14:29:26.609","Normal","-89.66","39.78","18|91|9223370623187009198","7660477280817270717","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-18-21"
"21","35","2014-10-18 14:29:26.621","Normal","-94.58","37.03","21|35|9223370623187009186","7660477280817270717","Jeff Markham","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"11","51","2014-10-18 14:29:26.612","Normal","-90.2","38.65","11|51|9223370623187009195","7660477280817270717","Jamie Engesser","987179512"," Saint Louis to Chicago","2014-10-18-21"
"22","73","2014-10-18 14:29:26.63","Normal","-90.04","35.19","22|73|9223370623187009177","7660477280817270717","Nadeem Asghar","1594289134","Memphis to Little Rock Route 2","2014-10-18-21"
"15","69","2014-10-18 14:29:26.651","Normal","-90.04","35.19","15|69|9223370623187009156","7660477280817270717","Rohit Bakshi","371182829","Memphis to Little Rock","2014-10-18-21"
"14","68","2014-10-18 14:29:26.702","Normal","-94.58","37.03","14|68|9223370623187009105","7660477280817270717","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-18-21"
"10","22","2014-10-18 14:29:27.075","Normal","-90.34","38.58","10|22|9223370623187008732","7660477280817270717","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-18-21"
"20","15","2014-10-18 14:29:27.191","Normal","-93.36","41.69","20|15|9223370623187008616","7660477280817270717","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"15","69","2014-10-18 14:29:27.246","Normal","-90.37","35.21","15|69|9223370623187008561","7660477280817270717","Rohit Bakshi","371182829","Memphis to Little Rock","2014-10-18-21"
"25","38","2014-10-18 14:29:27.342","Normal","-90.35","38.43","25|38|9223370623187008465","7660477280817270717","Jean-Philippe Player","1567254452","Saint Louis to Memphis Route2","2014-10-18-21"
"32","86","2014-10-18 14:29:27.353","Normal","-90.37","35.21","32|86|9223370623187008454","7660477280817270717","Ryan Templeton","1594289134","Memphis to Little Rock Route 2","2014-10-18-21"
"19","107","2014-10-18 14:29:27.493","Normal","-97.32","37.48","19|107|9223370623187008314","7660477280817270717","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-18-21"
"10","22","2014-10-18 14:29:27.917","Normal","-90.53","38.51","10|22|9223370623187007890","7660477280817270717","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-18-21"
"20","15","2014-10-18 14:29:27.992","Normal","-93.04","41.71","20|15|9223370623187007815","7660477280817270717","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"21","35","2014-10-18 14:29:28.108","Normal","-94.31","37.31","21|35|9223370623187007699","7660477280817270717","Jeff Markham","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"31","40","2014-10-18 14:29:28.221","Normal","-94.31","37.31","31|40|9223370623187007586","7660477280817270717","Rommel Garcia","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"25","38","2014-10-18 14:29:28.282","Normal","-90.24","38.0","25|38|9223370623187007525","7660477280817270717","Jean-Philippe Player","1567254452","Saint Louis to Memphis Route2","2014-10-18-21"
"22","73","2014-10-18 14:29:28.811","Normal","-90.94","35.03","22|73|9223370623187006996","7660477280817270717","Nadeem Asghar","1594289134","Memphis to Little Rock Route 2","2014-10-18-21"
"21","35","2014-10-18 14:29:28.888","Normal","-94.3","37.66","21|35|9223370623187006919","7660477280817270717","Jeff Markham","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"23","56","2014-10-18 14:29:28.903","Normal","-90.44","41.54","23|56|9223370623187006904","7660477280817270717","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-18-21"
"11","51","2014-10-18 14:29:28.958","Normal","-89.17","40.38","11|51|9223370623187006849","7660477280817270717","Jamie Engesser","987179512"," Saint Louis to Chicago","2014-10-18-21"
"24","57","2014-10-18 14:29:29.14","Normal","-89.17","40.38","24|57|9223370623187006667","7660477280817270717","Don Hilborn","1198242881"," Saint Louis to Chicago Route2","2014-10-18-21"
"30","82","2014-10-18 14:29:29.201","Normal","-92.74","41.75","30|82|9223370623187006606","7660477280817270717","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"17","101","2014-10-18 14:29:29.381","Normal","-90.79","38.83","17|101|9223370623187006426","7660477280817270717","Eric Mizell","1927624662","Springfield to KC Via Columbia","2014-10-18-21"
"18","91","2014-10-18 14:29:29.582","Normal","-90.24","39.72","18|91|9223370623187006225","7660477280817270717","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-18-21"
"23","56","2014-10-18 14:29:29.852","Normal","-90.7","41.62","23|56|9223370623187005955","7660477280817270717","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-18-21"
"26","71","2014-10-18 14:29:29.993","Normal","-90.86","38.46","26|71|9223370623187005814","7660477280817270717","Michael Aube","1325712174","Saint Louis to Tulsa Route2","2014-10-18-21"
"13","47","2014-10-18 14:29:30.105","Normal","-92.4","41.78","13|47|9223370623187005702","7660477280817270717","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-18-21"
"27","110","2014-10-18 14:29:30.109","Normal","-90.79","38.83","27|110|9223370623187005698","7660477280817270717","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-18-21"
"21","35","2014-10-18 14:29:30.661","Normal","-94.35","38.33","21|35|9223370623187005146","7660477280817270717","Jeff Markham","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"28","95","2014-10-18 14:29:30.551","Normal","-90.24","39.72","28|95|9223370623187005256","7660477280817270717","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-18-21"
"31","40","2014-10-18 14:29:30.792","Normal","-94.35","38.33","31|40|9223370623187005015","7660477280817270717","Rommel Garcia","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"23","56","2014-10-18 14:29:30.776","Normal","-91.05","41.72","23|56|9223370623187005031","7660477280817270717","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-18-21"
"13","47","2014-10-18 14:29:31.081","Normal","-92.19","41.74","13|47|9223370623187004726","7660477280817270717","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-18-21"
"14","68","2014-10-18 14:29:31.031","Normal","-94.35","38.33","14|68|9223370623187004776","7660477280817270717","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-18-21"
"12","63","2014-10-18 14:29:31.491","Normal","-89.54","36.84","12|63|9223370623187004316","7660477280817270717","Paul Codding","1961634315","Saint Louis to Memphis","2014-10-18-21"
"26","71","2014-10-18 14:29:31.52","Normal","-91.18","38.22","26|71|9223370623187004287","7660477280817270717","Michael Aube","1325712174","Saint Louis to Tulsa Route2","2014-10-18-21"
"29","41","2014-10-18 14:29:31.634","Normal","-97.34","36.63","29|41|9223370623187004173","7660477280817270717","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-18-21"
"30","82","2014-10-18 14:29:31.731","Normal","-91.94","41.71","30|82|9223370623187004076","7660477280817270717","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"24","57","2014-10-18 14:29:31.794","Normal","-88.07","41.48","24|57|9223370623187004013","7660477280817270717","Don Hilborn","1198242881"," Saint Louis to Chicago Route2","2014-10-18-21"
"22","73","2014-10-18 14:29:32.191","Normal","-91.93","34.81","22|73|9223370623187003616","7660477280817270717","Nadeem Asghar","1594289134","Memphis to Little Rock Route 2","2014-10-18-21"
"10","22","2014-10-18 14:29:32.402","Normal","-91.3","38.14","10|22|9223370623187003405","7660477280817270717","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-18-21"
"32","86","2014-10-18 14:29:32.465","Normal","-91.93","34.81","32|86|9223370623187003342","7660477280817270717","Ryan Templeton","1594289134","Memphis to Little Rock Route 2","2014-10-18-21"
"31","40","2014-10-18 14:29:32.435","Normal","-94.38","38.99","31|40|9223370623187003372","7660477280817270717","Rommel Garcia","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"19","107","2014-10-18 14:29:32.601","Normal","-97.35","36.4","19|107|9223370623187003206","7660477280817270717","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-18-21"
"16","33","2014-10-18 14:29:32.598","Normal","-91.47","41.74","16|33|9223370623187003209","7660477280817270717","Tom McCuch","24929475","Peoria to Ceder Rapids","2014-10-18-21"
"17","101","2014-10-18 14:29:32.911","Normal","-91.33","38.87","17|101|9223370623187002896","7660477280817270717","Eric Mizell","1927624662","Springfield to KC Via Columbia","2014-10-18-21"
"15","69","2014-10-18 14:29:33.171","Normal","-92.09","34.8","15|69|9223370623187002636","7660477280817270717","Rohit Bakshi","371182829","Memphis to Little Rock","2014-10-18-21"
"29","41","2014-10-18 14:29:33.302","Normal","-97.14","36.41","29|41|9223370623187002505","7660477280817270717","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-18-21"
"30","82","2014-10-18 14:29:33.447","Normal","-91.24","41.67","30|82|9223370623187002360","7660477280817270717","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"13","47","2014-10-18 14:29:33.525","Normal","-91.24","41.67","13|47|9223370623187002282","7660477280817270717","Joe Niemiec","927636994","Des Moines to Chicago.kml","2014-10-18-21"
"27","110","2014-10-18 14:29:33.621","Normal","-91.33","38.87","27|110|9223370623187002186","7660477280817270717","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-18-21"
"18","91","2014-10-18 14:29:33.891","Normal","-90.79","39.69","18|91|9223370623187001916","7660477280817270717","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-18-21"
"15","69","2014-10-18 14:29:33.952","Normal","-92.31","34.78","15|69|9223370623187001855","7660477280817270717","Rohit Bakshi","371182829","Memphis to Little Rock","2014-10-18-21"
"31","40","2014-10-18 14:29:34.203","Normal","-94.59","39.1","31|40|9223370623187001604","7660477280817270717","Rommel Garcia","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"21","35","2014-10-18 14:29:34.196","Normal","-94.59","39.1","21|35|9223370623187001611","7660477280817270717","Jeff Markham","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"25","38","2014-10-18 14:29:34.551","Normal","-90.07","35.68","25|38|9223370623187001256","7660477280817270717","Jean-Philippe Player","1567254452","Saint Louis to Memphis Route2","2014-10-18-21"
"11","15","2014-10-18 18:14:24.861","Normal","-90.2","38.65","11|15|9223370623173510946","-6285415704392739354","Jamie Engesser","987179512"," Saint Louis to Chicago","2014-10-18-21"
"28","95","2014-10-18 14:29:26.581","Normal","-89.66","39.78","28|95|9223370623187009226","7660477280817270717","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-18-21"
"20","15","2014-10-18 14:29:26.614","Normal","-93.58","41.62","20|15|9223370623187009193","7660477280817270717","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"10","22","2014-10-18 14:29:26.273","Normal","-90.18","38.64","10|22|9223370623187009534","7660477280817270717","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-18-21"
"23","56","2014-10-18 14:29:26.636","Normal","-89.52","40.7","23|56|9223370623187009171","7660477280817270717","Adam Diaz","1090292248","Peoria to Ceder Rapids Route 2","2014-10-18-21"
"19","107","2014-10-18 14:29:26.686","Normal","-97.36","37.69","19|107|9223370623187009121","7660477280817270717","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-18-21"
"27","110","2014-10-18 14:29:26.669","Normal","-90.21","38.65","27|110|9223370623187009138","7660477280817270717","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-18-21"
"21","35","2014-10-18 14:29:27.199","Normal","-94.46","37.16","21|35|9223370623187008608","7660477280817270717","Jeff Markham","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"26","71","2014-10-18 14:29:27.184","Normal","-90.34","38.58","26|71|9223370623187008623","7660477280817270717","Michael Aube","1325712174","Saint Louis to Tulsa Route2","2014-10-18-21"
"11","51","2014-10-18 14:29:27.216","Normal","-89.74","39.1","11|51|9223370623187008591","7660477280817270717","Jamie Engesser","987179512"," Saint Louis to Chicago","2014-10-18-21"
"16","33","2014-10-18 14:29:27.261","Normal","-89.91","40.86","16|33|9223370623187008546","7660477280817270717","Tom McCuch","24929475","Peoria to Ceder Rapids","2014-10-18-21"
"30","82","2014-10-18 14:29:27.486","Normal","-93.36","41.69","30|82|9223370623187008321","7660477280817270717","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"18","91","2014-10-18 14:29:27.865","Normal","-89.96","39.74","18|91|9223370623187007942","7660477280817270717","Grant Liu","1565885487","Springfield to KC Via Hanibal","2014-10-18-21"
"22","73","2014-10-18 14:29:27.872","Normal","-90.68","35.12","22|73|9223370623187007935","7660477280817270717","Nadeem Asghar","1594289134","Memphis to Little Rock Route 2","2014-10-18-21"
"28","95","2014-10-18 14:29:27.942","Normal","-89.96","39.74","28|95|9223370623187007865","7660477280817270717","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-18-21"
"29","41","2014-10-18 14:29:28.17","Normal","-97.32","37.27","29|41|9223370623187007637","7660477280817270717","Teddy Choi","803014426","Wichita to Little Rock Route 2","2014-10-18-21"
"19","107","2014-10-18 14:29:28.328","Normal","-97.32","37.27","19|107|9223370623187007479","7660477280817270717","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-18-21"
"14","68","2014-10-18 14:29:28.363","Normal","-94.31","37.31","14|68|9223370623187007444","7660477280817270717","Adis Cesir","1384345811","Joplin to Kansas City","2014-10-18-21"
"28","95","2014-10-18 14:29:28.761","Normal","-90.14","39.76","28|95|9223370623187007046","7660477280817270717","Olivier Renault","137128276","Springfield to KC Via Hanibal Route 2","2014-10-18-21"
"10","22","2014-10-18 14:29:28.871","Normal","-90.69","38.5","10|22|9223370623187006936","7660477280817270717","George Vetticaden","1390372503","Saint Louis to Tulsa","2014-10-18-21"
"20","15","2014-10-18 14:29:28.931","Normal","-92.74","41.75","20|15|9223370623187006876","7660477280817270717","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"31","40","2014-10-18 14:29:29.085","Normal","-94.3","37.66","31|40|9223370623187006722","7660477280817270717","Rommel Garcia","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"32","86","2014-10-18 14:29:29.081","Normal","-90.94","35.03","32|86|9223370623187006726","7660477280817270717","Ryan Templeton","1594289134","Memphis to Little Rock Route 2","2014-10-18-21"
"27","110","2014-10-18 14:29:29.205","Normal","-90.67","38.82","27|110|9223370623187006602","7660477280817270717","Mark Lochbihler","1325562373","Springfield to KC Via Columbia Route 2","2014-10-18-21"
"15","69","2014-10-18 14:29:29.613","Normal","-91.14","34.96","15|69|9223370623187006194","7660477280817270717","Rohit Bakshi","371182829","Memphis to Little Rock","2014-10-18-21"
"16","33","2014-10-18 14:29:29.812","Normal","-90.7","41.62","16|33|9223370623187005995","7660477280817270717","Tom McCuch","24929475","Peoria to Ceder Rapids","2014-10-18-21"
"20","15","2014-10-18 14:29:29.873","Normal","-92.4","41.78","20|15|9223370623187005934","7660477280817270717","Chris Harris","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"21","35","2014-10-18 14:29:29.821","Normal","-94.37","38.0","21|35|9223370623187005986","7660477280817270717","Jeff Markham","160405074","Joplin to Kansas City Route 2","2014-10-18-21"
"30","82","2014-10-18 14:29:30.041","Normal","-92.4","41.78","30|82|9223370623187005766","7660477280817270717","Dan Rice","160779139","Des Moines to Chicago Route 2","2014-10-18-21"
"19","107","2014-10-18 14:29:30.07","Normal","-97.37","36.91","19|107|9223370623187005737","7660477280817270717","Ajay Singh","1962261785","Wichita to Little Rock.kml","2014-10-18-21"
